French,English
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
laisser,let
car,because
laisse,leash
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
côté,side
vieux,old
sois,be
matin,morning
tellement,so much
point,point
venu,came
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
compte,account
loin,far
fin,end
croire,believe
gros,large
jouer,to play
